,Reflectance,Wavelength
186,0.15717223091278557,536.0
187,0.15764847426276737,537.0
188,0.15809326630872086,538.0
189,0.15855687510340338,539.0
190,0.15899631411136572,540.0
191,0.15943648724379034,541.0
192,0.159934712444714,542.0
193,0.16037050369731753,543.0
194,0.16081545189970498,544.0
195,0.16130754904370861,545.0
196,0.16178042733218126,546.0
197,0.16221602244631056,547.0
198,0.1626631715248522,548.0
199,0.16316939068872505,549.0
200,0.16364897436598863,550.0
201,0.16409375655055677,551.0
202,0.16453792833679842,552.0
203,0.16504644456116066,553.0
204,0.1655657140410905,554.0
205,0.1660749507731681,555.0
206,0.16657135971773213,556.0
207,0.16707352461108788,557.0
208,0.16758043636749487,558.0
209,0.1681080105304494,559.0
210,0.16866900796981704,560.0
211,0.16919999711489853,561.0
