,Reflectance,Wavelength
185,0.06526764774238614,535.0
186,0.06600247654574322,536.0
187,0.06667411316945122,537.0
188,0.06726134546649805,538.0
189,0.06781210101869473,539.0
190,0.06829833967131413,540.0
191,0.06873190292165608,541.0
192,0.06915663055294771,542.0
193,0.06958560607607919,543.0
194,0.0699683161561381,544.0
195,0.07030390700348438,545.0
196,0.07070007617374824,546.0
197,0.07109434631660323,547.0
198,0.07144368825328823,548.0
199,0.07173532121201451,549.0
200,0.07207018685309224,550.0
201,0.07238665493539725,551.0
202,0.07262457022489778,552.0
203,0.07273664335825059,553.0
204,0.07277156966556735,554.0
205,0.07276720733638503,555.0
206,0.07271094616483884,556.0
207,0.07244934530775224,557.0
208,0.07220984001047706,558.0
209,0.0719314149999244,559.0
210,0.07144818808889382,560.0
211,0.07097845061590123,561.0
